Rank,KOL,Point
1,web3brett,5.373269919265699E-16
2,CUBlockchain,1.0749324053775224E-16
3,BlockchainYtu,2.1503841929233343E-17
4,MetalBlockchain,4.028700386662556E-18
5,BlockchainFF,4.508291436502314E-19
6,josh_blockchain,1.6735508198260029E-19
7,NEAR_Blockchain,9.070274399098067E-20
8,BlockchainAssn,8.560665211953834E-20
9,solana,8.233666052740745E-20
10,SolanaStatus,6.753759585155542E-20
11,CremeDeLaCrypto,6.682601873010707E-20
12,EBlockchainCon,5.703951499050896E-20
13,blockchainmkyz,5.2933421607902386E-20
14,blockchaincap,4.355830633639712E-20
15,StanfordCrypto,3.894671052714709E-20
16,BlockchainforEU,2.6987422099913127E-20
17,TXblockchain_,2.1172285954047443E-20
18,BlockchainBoyy,1.843318334607463E-20
19,CredibleCrypto,1.8227528528008993E-20
20,Bitboy_Crypto,1.74687680601198E-20
21,BCBacker,1.686713881244572E-20
22,ArgoBlockchain,1.666941481285219E-20
23,RiotPlatforms,1.1503696990303143E-20
24,blockchain,7.777855390978727E-21
25,CalBlockchain,5.552279044447613E-21
26,saylor,4.424048677519917E-21
27,Crpto_Integrity,3.522246156413375E-21
28,ton_blockchain,3.1204070404905225E-21
29,thecryptomonk,1.899233125092674E-21
30,BlockFoundry,1.749731529077262E-21
31,girlgone_crypto,1.6990080602834573E-21
32,BlockAttorney,1.6160622951468132E-21
33,Chiliz,8.210492544683447E-22
34,AcademyPolkadot,6.043347061782846E-22
35,Futurist_conf,5.94372545279028E-22
36,ethereum,5.200280294913605E-22
37,blockchainrptr,4.778647366705556E-22
38,BlockchainZA,4.058801566459588E-22
39,Ebubechi_GMI,3.4577028457305544E-22
40,krakenfx,2.964621822709909E-22
41,thedefiedge,1.6925021636362572E-22
42,AskBlockchain,1.624430580980688E-22
43,bitcoin_dad,3.96285004048094E-23
44,BlockchainGirll,3.8537197473698953E-23
45,din_lol_,3.715576470632861E-23
46,BlLife_Forum,2.507649160287096E-23
47,WeSendit,9.288941177644569E-24
48,ETH_Daily,5.092410796439341E-24
49,nayibbukele,3.5498308518267135E-24
50,BEconomy_HQ,2.140888794216649E-24
51,ChainPeople,1.3705967211489588E-24
52,Neo_Blockchain,9.836266183246663E-25
53,IstanbulBlockWk,7.697793107848589E-25
54,AlcoholiCrypto,5.166399317718675E-25
55,THBWOfficial,2.798282323980898E-25
56,apubcc,2.7982823239808003E-25
57,BitcoinNewsCom,2.7643881824022757E-25
58,_Bblock,2.7643881345566967E-25
59,blockchaininfos,2.695577549995497E-25
60,CoinDCX,5.29766278632566E-26
61,ALEXLabBTC,4.9397319844700855E-26
62,WazirXIndia,1.912701309913096E-26
63,flow_blockchain,1.8326140399326707E-26
64,CoinersTakingLs,4.792540649641722E-28
65,LeaksBlockchain,3.389092370929943E-28
66,cryptocomarena,1.6440549063093892E-28
67,cryptocom,1.2931672401273987E-28
68,ONTOWallet,6.267390672736428E-30
69,web3games,6.267390670207329E-30
70,ArtOnBlockchain,2.1477650928544928E-30
71,SwftCoin,4.401770344355638E-31
72,Oduwacoin,1.1153693577246506E-31
73,RareEvo,9.585216836555405E-33
74,CryptoMichNL,1.867529123422063E-33
75,BTCFoundation,1.0020650570622986E-34
76,partisiampc,8.487986966200832E-35
77,cryptogems555,7.099970069389681E-35
78,FurionCrypto,5.662707936193299E-35
79,cryptojack,4.776221255122953E-35
80,LadyofCrypto1,4.2594464140238036E-35
81,Kylapromo,3.769505945665578E-35
82,CryptoGemsCom,3.3527234318815315E-35
83,ice_blockchain,2.9416629326040377E-35
84,BlockBonnieC,2.333595221822935E-35
85,IBCProtocol,2.3305821097055736E-35
86,TheChainMedia,9.673705179282791E-37
87,CryptoGemsHub,5.987953012103501E-37
88,Cardano,2.818256386219857E-37
89,defi_airdrops,2.818256386219857E-37
90,web3dome,2.6628974298883178E-37
91,CryptoGodJohn,2.6303804390282306E-37
92,TheCryptoWhale_,2.398425904226226E-37
93,Jumboblockchain,2.2782931102214123E-37
94,CryptoKing4Ever,2.1960979610967728E-37
95,Degennick_,2.171529568002476E-37
96,OwnYourBitcoin,2.167916569018023E-37
97,ColsonCrypto,2.167916569018023E-37
98,RenecBlockchain,2.160690571049115E-37
99,BitcoinChina_,2.124560581204569E-37
100,KayBlockchain,2.102882587297841E-37
101,Mint_Blockchain,2.102882587297841E-37
102,WuBlockchain,2.102882587297841E-37
103,blockchainbob,2.102882587297841E-37
104,ParisBlockWeek,2.0812045933911164E-37
105,BellsChain,2.0812045933911147E-37
106,BlockChain_CK,2.0595265994843913E-37
107,TheW3Space,2.0595265994843896E-37
108,oasys_games,2.052300601515481E-37
109,Dot_Blockchain,2.041461604562118E-37
110,mstor168,2.0306226076087565E-37
111,Infinaeon,2.0186222895532462E-37
112,KBCC_01,2.018519061010832E-37
113,m20blockchain,2.0021702406061764E-37
114,XO_app,1.9944926177642107E-37
115,blockshoweurope,1.9864536950237998E-37
116,EU_EBSI,1.980040621826395E-37
117,Wire_Blockchain,1.977963147410333E-37
118,AirdropAchiever,1.9767560772950747E-37
119,cryptomilliee,1.9757179266128508E-37
120,Memento_Bc,1.962711130268814E-37
121,W3Vibes,1.9439106319818508E-37
122,FukuSquad100x,1.9366846340129485E-37
123,BlockchainNewsM,1.9177867724416586E-37
124,BlockchainRealE,1.904779976097628E-37
125,Blockchain_Ep,1.8899995257066803E-37
126,eWealthatlantic,1.887638172798985E-37
127,Ajay8307,1.8625595022507259E-37
128,Sanemavcil,1.8454865179803543E-37
129,BlockchainEdu,1.8329829607805848E-37
130,Glbcryptofed,1.823959065697983E-37
131,klever_org,1.8028359252067257E-37
132,trigoblockchain,1.7888355541419664E-37
133,OGblockchain,1.7524345893735887E-37
134,vexanium,1.7316899535378477E-37
135,krosscoin_team,1.602120928052489E-37
136,MFEVBlockchain,1.570507186938512E-37
137,Stefanny_Crypto,1.5392547457229788E-37
138,gicsports,1.5372804998493309E-37
139,TheMayaCrypto,1.5024021560815448E-37
140,BLOCKCHAINALETS,1.5004150066400927E-37
141,SettleMintCom,1.4840403790998365E-37
142,AgoraGBC,1.4037860526318302E-37
143,CGAAPromo,1.2747832200609272E-37
144,DubaiBlockNet,1.2629823207805356E-37
145,chiliicrypto,1.224201234278568E-37
146,blockchain_bron,1.1842060393516308E-37
147,TienCypress,9.756269041481159E-38
148,AgencyMediax,9.47748159386899E-38
149,Evaa_Crypto,7.581243652839639E-38
150,theUWBO,7.3716897117413E-38
151,TheZaraCrypto,7.299429732052206E-38
152,noxuspi,5.919264119990623E-38
153,blckchainsocial,4.6983871871820065E-38
